title,location,rating,reviews,guests,bedrooms,beds,bathrooms,price,days booked
Chicago Is For Food Lovers! ★ Deluxe 1B Uptown Apt,rental unit in Uptown,4.92,12 ,4,1,2,1,$202,83
2BR Garden Unit in Workers Cottage; Steps from CTA,rental unit in Little Village,4.89,54 ,6,2,4,1,$79,5
"Bright, Clean, and Spacious 3 BR Logan Square Apt",rental unit in Logan Square,4.94,47 ,6,3,3,1,$120,17
Wrigleyville Garden Studio,residential home in Lakeview,4.97,111 ,2,1,1,1,$150,16
"Bright, Charming Loft in Andersonville",guesthouse in Uptown,4.92,212 ,2,S,1,1,$135,7
Lincoln Park Avant Artist's Private 1891 Apartment,guest suite in Lincoln Park,4.98,209 ,3,1,1,1,$149,1
Walk to Lake Michigan From a Contemporary Uptown Haven,rental unit in Uptown,4.87,343 ,2,1,1,1,$120,2
Private suite in Lincoln Square,guest suite in Lincoln Square,4.96,246 ,4,1,1,1,$85,27
Ravenswood Guest House Annex,rental unit in Edgewater,4.92,283 ,4,1,3,1,$98,8
Bucktown's Best Bang for the Buck,rental unit in Bucktown,4.73,105 ,5,2,2,1,$138,0
A Vintage Pink House in the Heart of Chicago,rental unit in Ukrainian Village,4.94,193 ,3,2,2,1,$159,0
Chicago’s Dickens Place a trendy centralized flat,townhouse in Logan Square,4.66,104 ,8,2,3,1,$127,0
"Belmont House, Classy & Chic/walk to Wrigley Fld",rental unit in Lakeview,4.88,81 ,6,2,3,1,$129,14
Spacious 2 bedroom/2 bathroom apartment w/ parking,rental unit in Bucktown,4.42,12 ,4,2,2,2,$159,75
Hugh's Haven...Albany Park Spacious 2 bedroom,condominium (condo) in Albany Park,5.0,9 ,4,2,2,1,$97,5
"Cozy, Quiet, Garden Getaway!",guest suite in North Center,4.90,311 ,2,1,1,1,$100,9
The 6 corner Gem,rental unit in Logan Square,4.92,49 ,3,S,1,1,$98,2
"Cozy,bright,quiet entire 2 bedroom remodeled apt.",rental unit in Portage Park,4.58,122 ,7,2,5,1,$72,14
"Fun & Luxury Loft, Close to Attractions",loft in South Loop/Printers Row,4.73,11 ,4,1,2,1,$130,86
ITALIAN garden apt/kids friendly/great location!!,rental unit in Irving Park,4.74,221 ,5,1,4,1,$90,0
Angie’s Nest,rental unit in Humboldt Park,4.89,61 ,6,3,3,1,$150,9
Spacious & Modern Family Friendly North Center Apt,condominium (condo) in North Center,4.84,45 ,6,2,3,1,$115,10
Entire Apartment - Logan Square Two Bedroom,rental unit in Logan Square,5.0,5 ,4,2,2,1,$150,3
Great location and fully furnished 1 Bedroom Apt!,rental unit in Lincoln Park,4.55,11 ,3,1,1,1,$99,106
Hip Chicago Apartment - FREE Parking Spot Included,rental unit in Logan Square,4.87,543 ,4,2,2,1,$180,1
An elegant Chicago Northside Getaway,rental unit in Lakeview,5.0,71 ,6,3,4,1,$175,10
2bdr apartment +free parking near train in Chicago,rental unit in Little Village,4.89,104 ,1,2,2,1,$76,0
Lovely 1BR Apt Steps from Wrigley!,rental unit in Wrigleyville,4.94,104 ,4,1,2,1,$150,0
"Ravenswood, Sleeps 4! Close to CTA, Metra, & Parks",rental unit in Uptown,4.98,40 ,4,2,3,1,$200,73
Ravenswood Guest House Annex,rental unit in Edgewater,4.92,283 ,4,1,3,1,$98,8
"The Noble Farmhouse, Sunlit with Private Garden in West Town",rental unit in West Town/Noble Square,4.97,115 ,3,2,2,1,$171,2
2 Bedroom city apartment in the heart of Pilsen,rental unit in Pilsen,4.71,96 ,6,2,2,1,$80,28
Pelotoning while Airbnb'ing in Chicago!,rental unit in Logan Square,4.94,35 ,4,2,2,1,$150,0
Charming 2 BR Garden Unit across from Park!,rental unit in Bucktown,4.93,15 ,4,2,2,1,$137,0
Sunny Character-Filled Apartment in Trendy Ukrainian Village,residential home in Humboldt Park,4.84,50 ,3,1,2,1,$119,98
Heart of Chicago 2BD + Parking,rental unit in Pilsen,4.79,137 ,5,2,3,1,$84,0
"A Stylish, sundrenched Chicago Ravenswood Flat",rental unit in Lakeview,4.99,75 ,6,3,4,1,$175,2
Behind the Beaten Path,rental unit in Humboldt Park,4.41,112 ,6,2,2,1,$88,0
In artistic Pilsen~Continental Breakfast~Near DWTN,rental unit in Pilsen,4.83,145 ,5,2,3,1,$95,9
"LOGAN SQUARE: Cozy, Mod Chic, 1st Floor 2 BD APT!",residential home in Avondale,4.97,73 ,6,2,4,1,$155,2
Industrial Style Chicago Loft with FREE parking,loft in Irving Park,4.88,544 ,2,1,1,1,$160,3
Cozy Bungalow Getaway,rental unit in Albany Park,4.98,58 ,2,1,1,1,$90,17
