title,location,rating,reviews,guests,bedrooms,beds,bathrooms,price,days booked
Cozy loft in Chicago's Uptown near CTA/Red Line,rental unit in Uptown,4.97,164 ,4,1,2,1,$119,40
East Garfield Park new remodeled sharp 1 bedroom,rental unit in Garfield Park,4.91,100 ,3,1,1,1,$106,19
2BR+parking btwn ORD&Downtown. quiet. Walkscore 93,rental unit in Avondale,4.89,133 ,6,2,4,1,$70,15
Lincoln Square Gem!,condominium (condo) in Lincoln Square,4.97,162 ,4,2,2,1,$105,16
Lincoln Park DePaul U stylish furnished studio 8,rental unit in Lincoln Park,4.88,137 ,2,S,0,1,$68,11
Great Location!!-12,rental unit in Near North Side,4.81,315 ,2,1,1,1,$65,14
"Modern Logan Square Apartment, steps from train!",rental unit in Logan Square,4.89,160 ,7,1,1,1,$109,2
Great Location Studio,rental unit in Near North Side,4.52,23 ,2,S,1,1,$65,10
Charming Bucktown 1BD,condominium (condo) in Bucktown,4.90,305 ,2,1,1,1,$125,83
Logan Square Garden Sanctuary,rental unit in Logan Square,4.97,60 ,4,1,1,1,$100,79
"DePaul-Lincoln Pk, Zoo-Parking-Hot Location-train",rental unit in Old Town,4.99,136 ,4,2,2,1,$149,40
WELCOME TO NANCY'S PAD!,rental unit in Lakeview,4.84,130 ,6,2,3,1,$103,32
Vintage Ukrainian Village Apartment,rental unit in Ukrainian Village,4.85,53 ,4,2,2,1,$100,34
Lakeview Penthouse-DePaul/Theatre/Wrigley/Parking,rental unit in Lakeview,4.96,153 ,4,1,1,1,$109,6
Sonder at Grant Park | Superior Studio Apartment w/ Lake View,rental unit in South Loop/Printers Row,4.80,270 ,4,S,2,1,$141,0
"Gorgeous, cozy 1-bedroom Suite in Andersonville",guest suite in Andersonville,4.94,196 ,2,1,1,1,$75,28
"Whole Flat in Private Club. Walk to L, Dining & Shows",rental unit in Uptown,4.89,304 ,4,1,2,1,$123,19
Modern Chicago Bungalow Guest Suite with Parking,guest suite in Avondale,4.95,19 ,2,1,1,1,$110,12
Cozy 1BR in the heart of Logan Square,rental unit in Logan Square,4.88,8 ,4,1,1,1,$100,87
Sunny Logan Square Artists' home,rental unit in Logan Square,4.91,148 ,6,3,3,1,$110,28
'Secret Garden' Apartment in Wrigleyville,rental unit in Lakeview,4.77,260 ,2,1,1,1,$74,4
"1200 ft near everything; weekend, month or longer",rental unit in Lakeview,4.95,67 ,2,1,1,1,$135,3
Bucktown Garden Unit 1BR,rental unit in Bucktown,4.96,24 ,4,1,2,1,$111,27
Studio with View of Skyline in Heart of Pilsen,loft in Pilsen,4.67,6 ,2,S,1,1,$63,17
Sonder at Grant Park | Spacious One-Bedroom Apartment w/ Lake View,rental unit in South Loop/Printers Row,4.86,190 ,4,1,2,1,$192,0
"The Dickens Place, flat! One of Hollywood’s own.",townhouse in Logan Square,4.75,259 ,1,2,9,1,$137,0
Cozy Garden Apartment in Heart of Pilsen,rental unit in Pilsen,4.90,173 ,4,2,2,1,$110,14
Bright family-friendly Lincoln Square 2-bed 1-bath,rental unit in Lincoln Square,4.97,173 ,5,2,2,1,$106,16
Enjoy Chicago’s Nightlife from Studio Apartment,rental unit in Uptown,4.80,340 ,2,S,1,1,$120,8
Great Location! Gold Coast! 07,rental unit in Near North Side,4.82,400 ,2,1,1,1,$65,10
Enjoy Lovely Logan Square from Bright and Modern Condominium,condominium (condo) in Avondale,4.84,70 ,4,1,2,1,$82,12
